true_Nc,target_fis,n_sample_prop,n_loci,num_N_hypothesized,N_try_max_factor,replicate,method,num_N_hypothesized,N_try_max_factor,N_est
150,0.001,0.2,1000,51,3,14,betabin_dynamic,51,3,NA
150,0.001,0.2,1000,51,3,15,wasserstein,51,3,25.665
150,0.001,0.2,1000,51,3,15,bhd,51,3,30.29
150,0.001,0.2,1000,51,3,15,betabin,51,3,24
150,0.001,0.2,1000,51,3,15,betabin_dynamic,51,3,NA
150,0.001,0.2,1000,51,3,16,wasserstein,51,3,25.685
150,0.001,0.2,1000,51,3,16,bhd,51,3,29.875
150,0.001,0.2,1000,51,3,16,betabin,51,3,24
150,0.001,0.2,1000,51,3,16,betabin_dynamic,51,3,NA
150,0.001,0.2,1000,51,3,17,wasserstein,51,3,25.49
150,0.001,0.2,1000,51,3,17,bhd,51,3,29.825
150,0.001,0.2,1000,51,3,17,betabin,51,3,24
150,0.001,0.2,1000,51,3,17,betabin_dynamic,51,3,NA
150,0.001,0.2,1000,51,3,18,wasserstein,51,3,25.84
150,0.001,0.2,1000,51,3,18,bhd,51,3,29.905
150,0.001,0.2,1000,51,3,18,betabin,51,3,24
150,0.001,0.2,1000,51,3,18,betabin_dynamic,51,3,NA
150,0.001,0.2,1000,51,3,19,wasserstein,51,3,25.51
150,0.001,0.2,1000,51,3,19,bhd,51,3,29.86
150,0.001,0.2,1000,51,3,19,betabin,51,3,24
150,0.001,0.2,1000,51,3,19,betabin_dynamic,51,3,NA
150,0.001,0.2,1000,51,3,20,wasserstein,51,3,25.555
150,0.001,0.2,1000,51,3,20,bhd,51,3,29.845
150,0.001,0.2,1000,51,3,20,betabin,51,3,24
150,0.001,0.2,1000,51,3,20,betabin_dynamic,51,3,NA
150,0.001,0.2,1000,51,6,1,wasserstein,51,6,25.5
150,0.001,0.2,1000,51,6,1,bhd,51,6,31.08
150,0.001,0.2,1000,51,6,1,betabin,51,6,24
150,0.001,0.2,1000,51,6,1,betabin_dynamic,51,6,NA
150,0.001,0.2,1000,51,6,2,wasserstein,51,6,25.365
150,0.001,0.2,1000,51,6,2,bhd,51,6,31.205
150,0.001,0.2,1000,51,6,2,betabin,51,6,24
150,0.001,0.2,1000,51,6,2,betabin_dynamic,51,6,NA
150,0.001,0.2,1000,51,6,3,wasserstein,51,6,25.875
150,0.001,0.2,1000,51,6,3,bhd,51,6,30.21
150,0.001,0.2,1000,51,6,3,betabin,51,6,24
150,0.001,0.2,1000,51,6,3,betabin_dynamic,51,6,NA
150,0.001,0.2,1000,51,6,4,wasserstein,51,6,25.935
150,0.001,0.2,1000,51,6,4,bhd,51,6,31.13
150,0.001,0.2,1000,51,6,4,betabin,51,6,24
150,0.001,0.2,1000,51,6,4,betabin_dynamic,51,6,NA
150,0.001,0.2,1000,51,6,5,wasserstein,51,6,25.685
150,0.001,0.2,1000,51,6,5,bhd,51,6,31.045
150,0.001,0.2,1000,51,6,5,betabin,51,6,24
150,0.001,0.2,1000,51,6,5,betabin_dynamic,51,6,NA
150,0.001,0.2,1000,51,6,6,wasserstein,51,6,25.545
150,0.001,0.2,1000,51,6,6,bhd,51,6,31.3
150,0.001,0.2,1000,51,6,6,betabin,51,6,24
150,0.001,0.2,1000,51,6,6,betabin_dynamic,51,6,NA
150,0.001,0.2,1000,51,6,7,wasserstein,51,6,25.77
150,0.001,0.2,1000,51,6,7,bhd,51,6,30.125
150,0.001,0.2,1000,51,6,7,betabin,51,6,24
150,0.001,0.2,1000,51,6,7,betabin_dynamic,51,6,NA
150,0.001,0.2,1000,51,6,8,wasserstein,51,6,25.575
150,0.001,0.2,1000,51,6,8,bhd,51,6,30.115
150,0.001,0.2,1000,51,6,8,betabin,51,6,24
150,0.001,0.2,1000,51,6,8,betabin_dynamic,51,6,NA
150,0.001,0.2,1000,51,6,9,wasserstein,51,6,25.59
150,0.001,0.2,1000,51,6,9,bhd,51,6,29.905
150,0.001,0.2,1000,51,6,9,betabin,51,6,24
150,0.001,0.2,1000,51,6,9,betabin_dynamic,51,6,NA
150,0.001,0.2,1000,51,6,10,wasserstein,51,6,25.68
150,0.001,0.2,1000,51,6,10,bhd,51,6,29.915
150,0.001,0.2,1000,51,6,10,betabin,51,6,24
150,0.001,0.2,1000,51,6,10,betabin_dynamic,51,6,NA
150,0.001,0.2,1000,51,6,11,wasserstein,51,6,25.56
150,0.001,0.2,1000,51,6,11,bhd,51,6,29.59
150,0.001,0.2,1000,51,6,11,betabin,51,6,24
150,0.001,0.2,1000,51,6,11,betabin_dynamic,51,6,NA
150,0.001,0.2,1000,51,6,12,wasserstein,51,6,25.485
150,0.001,0.2,1000,51,6,12,bhd,51,6,30.52
150,0.001,0.2,1000,51,6,12,betabin,51,6,24
150,0.001,0.2,1000,51,6,12,betabin_dynamic,51,6,NA
150,0.001,0.2,1000,51,6,13,wasserstein,51,6,25.515
150,0.001,0.2,1000,51,6,13,bhd,51,6,30.555
150,0.001,0.2,1000,51,6,13,betabin,51,6,24
150,0.001,0.2,1000,51,6,13,betabin_dynamic,51,6,NA
150,0.001,0.2,1000,51,6,14,wasserstein,51,6,25.643216080402
150,0.001,0.2,1000,51,6,14,bhd,51,6,32.1909547738693
150,0.001,0.2,1000,51,6,14,betabin,51,6,24
150,0.001,0.2,1000,51,6,14,betabin_dynamic,51,6,NA
150,0.001,0.2,1000,51,6,15,wasserstein,51,6,25.635
150,0.001,0.2,1000,51,6,15,bhd,51,6,30.95
150,0.001,0.2,1000,51,6,15,betabin,51,6,24
150,0.001,0.2,1000,51,6,15,betabin_dynamic,51,6,NA
150,0.001,0.2,1000,51,6,16,wasserstein,51,6,25.365
150,0.001,0.2,1000,51,6,16,bhd,51,6,30.725
