"true_Nc","sample_prop","n_sample","AFS","replicate","method","num_N_hypothesized","N_try_max_factor","N_est","bias"
100,0.3,30,"beta_L_shaped",9,"nll",15,6,34.2978723404255,-0.657021276595745
100,0.3,30,"beta_L_shaped",10,"wasserstein",15,6,30.3191489361702,-0.696808510638298
100,0.3,30,"beta_L_shaped",10,"bhd",15,6,60.6170212765957,-0.393829787234043
100,0.3,30,"beta_L_shaped",10,"sherwin",15,6,33.5957446808511,-0.664042553191489
100,0.3,30,"beta_L_shaped",10,"nll",15,6,33.5957446808511,-0.664042553191489
100,0.3,30,"beta_L_shaped",11,"wasserstein",15,6,31.1739130434783,-0.688260869565217
100,0.3,30,"beta_L_shaped",11,"bhd",15,6,62.9130434782609,-0.370869565217391
100,0.3,30,"beta_L_shaped",11,"sherwin",15,6,33.5652173913044,-0.664347826086957
100,0.3,30,"beta_L_shaped",11,"nll",15,6,33.5652173913044,-0.664347826086957
100,0.3,30,"beta_L_shaped",12,"wasserstein",15,6,29.7391304347826,-0.702608695652174
100,0.3,30,"beta_L_shaped",12,"bhd",15,6,57.5217391304348,-0.424782608695652
100,0.3,30,"beta_L_shaped",12,"sherwin",15,6,32.6086956521739,-0.673913043478261
100,0.3,30,"beta_L_shaped",12,"nll",15,6,32.6086956521739,-0.673913043478261
100,0.3,30,"beta_L_shaped",13,"wasserstein",15,6,28.6444444444444,-0.713555555555555
100,0.3,30,"beta_L_shaped",13,"bhd",15,6,54.4888888888889,-0.455111111111111
100,0.3,30,"beta_L_shaped",13,"sherwin",15,6,34.0222222222222,-0.659777777777778
100,0.3,30,"beta_L_shaped",13,"nll",15,6,34.0222222222222,-0.659777777777778
100,0.3,30,"beta_L_shaped",14,"wasserstein",15,6,30,-0.7
100,0.3,30,"beta_L_shaped",14,"bhd",15,6,60.0454545454545,-0.399545454545455
100,0.3,30,"beta_L_shaped",14,"sherwin",15,6,33.5,-0.665
100,0.3,30,"beta_L_shaped",14,"nll",15,6,33.5,-0.665
100,0.3,30,"beta_L_shaped",15,"wasserstein",15,6,30.3191489361702,-0.696808510638298
100,0.3,30,"beta_L_shaped",15,"bhd",15,6,60.3829787234043,-0.396170212765957
100,0.3,30,"beta_L_shaped",15,"sherwin",15,6,35,-0.65
100,0.3,30,"beta_L_shaped",15,"nll",15,6,35,-0.65
100,0.3,30,"beta_L_shaped",16,"wasserstein",15,6,30.695652173913,-0.69304347826087
100,0.3,30,"beta_L_shaped",16,"bhd",15,6,60.9565217391304,-0.390434782608696
