"true_Nc","target_fis","n_sample_prop","n_loci","method","num_N_hypothesized","N_try_max_factor","mean_bias","median_bias","rmse","cv"
150,0.05,0.2,1000,"bhd",15,6,-0.746267654941373,-0.746649748743719,111.941272429063,0.0135238260821658
150,0.05,0.2,1000,"bhd",51,3,-0.800021465661642,-0.800016666666667,120.005657532566,0.0261616934678352
150,0.05,0.2,1000,"bhd",51,6,-0.795393810720268,-0.795171440536013,119.309944885716,0.0152600823162085
150,0.05,0.2,1000,"wasserstein",15,3,-0.82708783919598,-0.827468927973199,124.063379019699,0.00888088139036912
150,0.05,0.2,1000,"wasserstein",15,6,-0.829910393634841,-0.82955,124.486902119509,0.0117527574332051
150,0.05,0.2,1000,"wasserstein",51,3,-0.829569413735343,-0.8295,124.435554602725,0.00755889978179569
150,0.05,0.2,1000,"wasserstein",51,6,-0.828325368509213,-0.82865,124.249019550158,0.00919362153006808
150,0.05,0.2,5000,"betabin",15,3,-0.84,-0.84,126,0
150,0.05,0.2,5000,"betabin",15,6,-0.84,-0.84,126,0
150,0.05,0.2,5000,"betabin",51,3,-0.84,-0.84,126,0
150,0.05,0.2,5000,"betabin",51,6,-0.84,-0.84,126,0
150,0.05,0.2,5000,"betabin_dynamic",15,3,-0.400073022022022,-0.4,60.0109561902619,0.000212226244353718
150,0.05,0.2,5000,"betabin_dynamic",15,6,0.199628607273941,0.2,29.9444085341096,0.000478174231513854
150,0.05,0.2,5000,"betabin_dynamic",51,3,-0.400140062062062,-0.40001,60.0210186153065,0.000381105485933772
150,0.05,0.2,5000,"betabin_dynamic",51,6,0.199710634300968,0.2,29.9567639128702,0.000573293427047324
150,0.05,0.2,5000,"bhd",15,3,-0.783561153820487,-0.783103103103103,117.534710402028,0.0112312843448695
150,0.05,0.2,5000,"bhd",15,6,-0.745790274607941,-0.746112779446113,111.868832629824,0.00687064651643801
150,0.05,0.2,5000,"bhd",51,3,-0.79997019352686,-0.800063396730063,119.995721261746,0.00734452273794633
150,0.05,0.2,5000,"bhd",51,6,-0.792344246246246,-0.792258925592259,118.851971475767,0.00928846872751747
150,0.05,0.2,5000,"wasserstein",15,3,-0.8268180333667,-0.826776723390057,124.022731638266,0.00321012590581772
150,0.05,0.2,5000,"wasserstein",15,6,-0.829132690023357,-0.82929,124.369951704125,0.00438315636273635
150,0.05,0.2,5000,"wasserstein",51,3,-0.829292090757424,-0.829273333333333,124.39383645405,0.00302036830302006
